Task_Item,Status,Notes
Create ProtonVPN account,☐,
Download and install VPN client,☐,
Take installation screenshot,☐,
Connect to VPN server,☐,
Take connection screenshot,☐,
Verify IP address change,☐,
Take IP verification screenshot,☐,
Test original internet speed,☐,
Test VPN internet speed,☐,
Compare speed results,☐,
Test encryption verification,☐,
Disconnect and reconnect test,☐,
Research VPN protocols,☐,
Answer interview questions,☐,
Create GitHub repository,☐,
Upload all documentation,☐,
Submit repository link,☐,
